,day,month,days,is_it_job,seniority,company_code,country_code
12017,19,8,51.0,0,1.0,51,27
12018,5,6,126.0,1,2.0,51,27
12019,16,9,22.0,1,2.0,51,27
12020,10,9,28.0,0,3.0,51,116
12021,12,9,26.0,1,2.0,51,51
12022,23,7,78.0,1,3.0,51,27
12025,7,10,2.0,0,3.0,51,27
12026,5,6,126.0,0,3.0,51,51
12027,5,10,4.0,1,3.0,51,107
12028,6,10,3.0,0,2.0,51,27
12029,3,10,6.0,0,2.0,51,39
12030,3,10,6.0,1,3.0,51,27
12031,26,9,13.0,1,3.0,51,27
12032,25,9,13.0,0,3.0,51,116
12033,18,9,20.0,1,3.0,51,27
12034,18,9,20.0,0,3.0,51,27
12035,18,9,21.0,0,1.0,51,27
12037,8,10,1.0,0,2.0,51,120
12038,5,6,126.0,0,2.0,51,27
12039,21,9,18.0,0,2.0,51,27
12040,5,9,33.0,1,3.0,51,27
12041,7,10,2.0,0,1.0,51,27
12043,17,9,22.0,0,3.0,51,116
12044,21,8,49.0,0,2.0,51,27
12045,14,9,24.0,1,3.0,51,27
12046,30,9,9.0,0,3.0,51,116
12047,8,9,30.0,1,3.0,51,39
12048,29,9,9.0,1,3.0,51,27
12049,6,10,3.0,0,1.0,51,27
12050,7,10,2.0,0,4.0,51,27
12051,7,10,2.0,0,3.0,51,27
12052,3,10,6.0,0,1.0,51,27
12053,16,9,23.0,0,3.0,51,27
12054,1,8,69.0,1,3.0,51,27
12055,25,8,45.0,1,3.0,102,27
12056,25,8,45.0,1,3.0,102,27
12057,18,9,21.0,1,1.0,102,27
12058,18,9,21.0,1,1.0,102,27
12059,5,9,33.0,0,3.0,85,27
12060,5,9,33.0,0,3.0,85,27
12061,22,8,48.0,1,3.0,80,116
12062,26,9,13.0,1,3.0,116,27
12064,8,10,1.0,1,2.0,148,116
12065,3,10,6.0,0,1.0,148,116
12066,2,10,7.0,1,2.0,148,116
12067,13,8,56.0,1,3.0,148,13
12068,13,8,56.0,1,3.0,148,13
12069,25,9,14.0,1,3.0,148,116
12070,1,9,37.0,0,3.0,107,27
12071,27,8,42.0,0,3.0,107,26
12072,7,8,63.0,0,3.0,107,77
12073,6,10,3.0,0,2.0,107,50
12074,6,10,3.0,0,2.0,107,50
12075,28,9,11.0,1,3.0,107,21
12076,26,9,13.0,1,3.0,107,21
12077,1,9,37.0,0,3.0,107,50
12078,26,9,13.0,0,3.0,107,77
12079,27,9,12.0,1,4.0,107,84
12080,11,9,27.0,1,4.0,107,55
12081,8,9,30.0,0,3.0,107,55
12082,28,9,11.0,1,3.0,107,21
12083,6,10,3.0,0,3.0,107,59
12084,28,9,11.0,0,3.0,107,107
12085,1,9,38.0,1,3.0,107,21
12086,19,9,19.0,0,2.0,131,87
12089,8,10,1.0,0,3.0,131,22
