name;company_name;company_url;location;total_feedback;count_feedback,recruiter_urlAndré Nürnberger;PAN Personalvermittlung & Beratung;https://www.bestcruiter.com/personalberatung/pan-personalvermittlung-beratung;Berlin;4.90;107 Empfehlungen;https://www.bestcruiter.com/person/andre-nuernberger
Volker Seubert;SEUBERT HR Management Consulting;https://www.bestcruiter.com/personalberatung/seubert-hr-management-consulting;Ahrensburg;4.74;10 Empfehlungen;https://bestcruiter.com/person/volker-seubert
Johannes Pelzer;ABLE Group;;Gummersbach;;;https://bestcruiter.com/person/johannes-pelzer
Ralf Huck;EPS Personalservice GmbH;;Tuttlingen;4.43;1 Empfehlungen;https://bestcruiter.com/person/ralf-huck
Jutta Langsch;Langsch Consulting GmbH und Co. KG;;Stuttgart;5.00;6 Empfehlungen;https://bestcruiter.com/person/jutta-langsch
Frau Muila Swele;Clearstone GmbH;https://www.bestcruiter.com/personalberatung/clearstone-gmbh;Köln;4.73;3 Empfehlungen;https://bestcruiter.com/person/muila-swele
Monika Tomic;expertum Holding GmbH;https://www.bestcruiter.com/personalberatung/expertum-holding-gmbh;Eislingen;4.87;12 Empfehlungen;https://bestcruiter.com/person/monika-tomic
Oğuzhan Özçelik;MIGAVIS International;https://www.bestcruiter.com/personalberatung/migavis-international;Berlin;4.80;2 Empfehlungen;https://bestcruiter.com/person/oguzhan-zcelik
Mehmet Ucar;MIGAVIS International;;Berlin;4.75;37 Empfehlungen;https://bestcruiter.com/person/mehmet-ucar-1
Bethany Rixson;Modis GmbH;https://www.bestcruiter.com/personalberatung/modis;München;4.94;13 Empfehlungen;https://bestcruiter.com/person/bethany-rixson
Patrick Reitberger;Modis GmbH;https://www.bestcruiter.com/personalberatung/modis;Stuttgart;4.87;3 Empfehlungen;https://bestcruiter.com/person/patrick-reitberger
Martin Kurzenberg;Greifenberg Personalberatung & Recruitment;;München;4.75;74 Empfehlungen;https://bestcruiter.com/person/martin-kurzenberg
Ioannis Michailidis;ORSON GmbH;;Stuttgart;4.78;11 Empfehlungen;https://bestcruiter.com/person/ioannis-michailidis-1
Cindy Memmersheim;Modis GmbH;https://www.bestcruiter.com/personalberatung/modis;Stuttgart;;;https://bestcruiter.com/person/cindy-memmersheim
Hendrik Müller;Modis GmbH;https://www.bestcruiter.com/personalberatung/modis;Stuttgart;;;https://bestcruiter.com/person/hendrik-mueller
Samantha Strigl;Personality IT People Power GmbH;;Stuttgart;;;https://bestcruiter.com/person/samantha-strigl
Lisa Sigle;Modis GmbH;https://www.bestcruiter.com/personalberatung/modis;Stuttgart;5.00;1 Empfehlungen;https://bestcruiter.com/person/lisa-sigle
Oliver Gronwald;Modis GmbH;https://www.bestcruiter.com/personalberatung/modis;München;4.63;9 Empfehlungen;https://bestcruiter.com/person/oliver-gronwald
Ümit Tübek;Modis GmbH;https://www.bestcruiter.com/personalberatung/modis;Stuttgart;;;https://bestcruiter.com/person/mit-tuebek
Dipl.Ök. Birgit Bruns;BBRecruiting Personalberatung;https://www.bestcruiter.com/personalberatung/bbrecruiting-personalberatung;Königsallee 27;4.36;2 Empfehlungen;https://bestcruiter.com/person/birgit-bruns-1
Ulrike Frenzel;Greifenberg Personalberatung & Recruitment;https://www.bestcruiter.com/personalberatung/greifenberg-personalberatung;München;4.57;12 Empfehlungen;https://bestcruiter.com/person/ulrike-frenzel
Andrea May;Beckhäuser Personal & Lösungen;;Würzburg;;;https://bestcruiter.com/person/andre-may
Janine Siess;Beckhäuser Personal & Lösungen;;Würzburg;;;https://bestcruiter.com/person/janine-siess
Sandra Bauer;Beckhäuser Personal & Lösungen;;Würzburg;;;https://bestcruiter.com/person/sandra-bauer
Jennifer Karpinski;Beckhäuser Personal & Lösungen;;Würzburg;;;https://bestcruiter.com/person/jennifer-karpinski
Thomas Löser;Löser Personalberatung;https://www.bestcruiter.com/personalberatung/loeser-personalberatung;Schönewalde OT Ahlsdorf;4.83;17 Empfehlungen;https://bestcruiter.com/person/thomas-loeser
Mikel Stahl;SKILLs HR Experts GmbH;https://www.bestcruiter.com/personalberatung/skills-experts-gmbh;Hamburg;4.95;3 Empfehlungen;https://bestcruiter.com/person/mikel-stahl
Frank Welzel;Log-Cons GmbH;;Bremen/Wien/Bangkok;4.00;1 Empfehlungen;https://bestcruiter.com/person/frank-welzel
Lutz Martens;Maximum Personalmanagement;https://www.bestcruiter.com/personalberatung/maximum-personalmanagement;Hannover;4.00;1 Empfehlungen;https://bestcruiter.com/person/lutz-martens
Florian Pisch;Manpower GmbH & Co. KG;;Ludwigsburg;;;https://bestcruiter.com/person/florian-pisch
Dilsâd Babayigit;ageneo Life Science Experts GmbH;https://www.bestcruiter.com/personalberatung/ageneo-life-science-experts-gmbh;München;4.65;4 Empfehlungen;https://bestcruiter.com/person/dilsad-babayigit
Nadja A.M. Küppers;ageneo Life Science Experts GmbH;https://www.bestcruiter.com/personalberatung/ageneo-life-science-experts-gmbh;München;4.88;18 Empfehlungen;https://bestcruiter.com/person/nadjaam-kueppers-1
Katleen Kolzenburg;ageneo Life Science Experts GmbH;https://www.bestcruiter.com/personalberatung/ageneo-life-science-experts-gmbh;München;;;https://bestcruiter.com/person/katleen-kolzenburg
Christian Limmer;Constares GmbH;https://www.bestcruiter.com/personalberatung/constares-gmbh;München;;;https://bestcruiter.com/person/christian-limmer-1
Jonas von Knobloch;MODIS GmbH;;Köln;;;https://bestcruiter.com/person/jonas-vonknobloch
Przemyslaw Bazak;Kooku Konsult;;Berlin;;;https://bestcruiter.com/person/przemyslaw-bazak
Aika Feeken;Kooku Konsult;;Berlin;;;https://bestcruiter.com/person/aika-feeken
Michael Laube;Kooku Konsult;;Berlin;;;https://bestcruiter.com/person/michael-laube
Herr Mathias Mengel;Kooku Recruiting Partners Berlin;https://www.bestcruiter.com/personalberatung/kooku-konsult;Berlin;4.86;1 Empfehlungen;https://bestcruiter.com/person/mathias-mengel
Jan Slizarski;Kooku Recruiting Partners Berlin;https://www.bestcruiter.com/personalberatung/kooku-konsult;Berlin;;;https://bestcruiter.com/person/jan-slizarski
Ralf Köhler;pbb Buddensiek GmbH;https://www.bestcruiter.com/personalberatung/pbb-buddensiek;Oberursel (Taunus);4.54;15 Empfehlungen;https://bestcruiter.com/person/ralf-koehler-1
Benjamin Thiel;DIS AG;;Berlin;4.33;7 Empfehlungen;https://bestcruiter.com/person/benjamin-thiel-1
Andreas Burike;jobvertising crossmedia GmbH;;Berlin;;;https://bestcruiter.com/person/andreas-burike
Ulrike Michels;Ulrike Michels Beratung;https://www.bestcruiter.com/personalberatung/ulrike-michels-beratung;Frankfurt;4.87;15 Empfehlungen;https://bestcruiter.com/person/ulrike-michels-1
Franz Grande;GRANDE + PARTNER Personalberatung;;Kempten;4.87;25 Empfehlungen;https://bestcruiter.com/person/franz-grande
Julian Schmitt;expertum Holding GmbH;https://www.bestcruiter.com/personalberatung/expertum-holding-gmbh;Wangen im Allgäu;4.00;1 Empfehlungen;https://bestcruiter.com/person/julian-schmitt-1
Sabine Higgen;expertum Holding GmbH;https://www.bestcruiter.com/personalberatung/expertum-holding-gmbh;Oldenburg;;;https://bestcruiter.com/person/sabine-higgen
René Uckermann;expertum Gruppe;;Düsseldorf;5.00;1 Empfehlungen;https://bestcruiter.com/person/rene-uckermann
Nadine Wiener;expertum Holding GmbH;https://www.bestcruiter.com/personalberatung/expertum-holding-gmbh;München;;;https://bestcruiter.com/person/nadine-wiener
Stefan Rauer;PERSONALMENSCH E.K.;https://www.bestcruiter.com/personalberatung/personalmensch-e-k;Bielefeld;;;https://bestcruiter.com/person/stefan-rauer
Leiter Vertrieb/Personalvermittlung  und Headhunting National/International Giuseppe Gruner;vera via personaldienstleistung;;Berlin;4.45;6 Empfehlungen;https://bestcruiter.com/person/giuseppe-gruner
Ferdinand Friesel;PMC International AG;https://www.bestcruiter.com/personalberatung/pmc-international-ag;Düsseldorf;4.70;9 Empfehlungen;https://bestcruiter.com/person/ferdinand-friesel
Mathias Siebenlist;PMC International AG;https://www.bestcruiter.com/personalberatung/pmc-international-ag;München;4.69;7 Empfehlungen;https://bestcruiter.com/person/mathias-siebenlist
Volker Weigt;PMC International AG;https://www.bestcruiter.com/personalberatung/pmc-international-ag;Düsseldorf;;;https://bestcruiter.com/person/volker-weigt-1
Dirk Schneider;Adecco GmbH;;Hamburg;;;https://bestcruiter.com/person/dirk-schneider
Oliver Hanke;LHL UG;;Monheim am Rhein;;;https://bestcruiter.com/person/oliver-hanke-2
Stefan Hilgner;apsa personnel concepts gmbh;;Wien;4.86;3 Empfehlungen;https://bestcruiter.com/person/stefan-hilgner-1
Shezan Kazi;eSAR GmbH;https://www.bestcruiter.com/personalberatung/esar-gmbh;München;4.80;1 Empfehlungen;https://bestcruiter.com/person/shezan-kazi
Amanda Rätscher;eSAR GmbH;https://www.bestcruiter.com/personalberatung/esar-gmbh;München;;;https://bestcruiter.com/person/amanda-raetscher-1
Alicia Hebding;eSAR GmbH;https://www.bestcruiter.com/personalberatung/esar-gmbh;München;;;https://bestcruiter.com/person/alicia-hebding
Regina Schlien;eSAR GmbH;https://www.bestcruiter.com/personalberatung/esar-gmbh;München;;;https://bestcruiter.com/person/regin-schlien
Gunnar Mayr;Constares GmbH;https://www.bestcruiter.com/personalberatung/constares-gmbh;München;4.90;20 Empfehlungen;https://bestcruiter.com/person/gunnar-mayr-1
